Date,PMID,Passage,Data
20181228,19013282,"Both IHC and IF studies of the cortex of the Cck BACarray line clearly demonstrate that EGFP-L10a is detected in small neurons positive for Calb1 but not Pvalb or Calb2, as well as in pyramidal cells (data not shown), consistent with previous in situ hybridization (ISH) data (www.stjudebgem.org; www.brain-map.org).",brain-map.org
20181228,19013282,"For example, consistent with the ISH databases (www.stjudebgem.org; www.brain-map.org) our data clearly indicate that Penk1 is expressed in Golgi cells and in scattered cells in the molecular layer (Figure 3C, panel 1).",brain-map.org
20181210,19065144,Individual phenotype and genotype data are available to researchers via application to the dbGaP repository.,dbgap
20181210,19065144,"As part of the GAIN application process, consent forms were specifically re-reviewed for suitability for the deposit of de-identified phenotype and genotype data into the controlled-access dbGaP repository.",dbgap
20181210,19065144,"The unfiltered dataset obtained from dbGaP contained 599,156 unique SNPs.",dbgap
20181227,19114987,The genotype data are available through dbGaP (phs000017.v1.p1).,dbgap
20181204,19287386,Potential miR-124 targets with highest EASE score (Cell Differentiation) were further confirmed with their expression pattern in Allen Brain Atlas (http://www.brain-map.org/welcome.do).,brain-map.org
20181227,19321767,"Using the Allen Brain Atlas (http://mouse.brain-map.org/), we compared the distribution of trh-r1 mRNA in the tuberal and lateral hypothalamic region to the distribution of prepro-hcrt mRNA and found a striking similarity, suggesting that TRH-R1 mRNA might be expressed in Hcrt neurons.",brain-map.org
20181220,19365859,We performed a haplotype sharing-based genome-wide association scan on data from a study of Parkinson’s disease obtained from dbGaP (database of genotype and phenotype) to illustrate our approach.,dbgap
20181220,19365859,"Further, a single-locus association that is spurious [and not reported by but reported in online analyses found on dbGaP, accession numbers pha000003.1 and pha000004.1] shows no sign of association using our approach.",dbgap
20181220,19365859,We applied our proposed haplotype-sharing methodology to the National Institute of Neurological Disorders and Stroke (NINDS) Parkinson’s disease data set that we obtained through dbGaP (dbGaP accession number phs000089).,dbgap
20181220,19365859,No individuals were excluded for missingness (NINDS had already excluded several individuals with a large proportion of failed genotypes from the dbGaP data set).,dbgap
20181220,19365859,"Database of genotypes and phenotypes (dbGaP), http://view.ncbi.nlm.nih.gov/dbgap",dbgap
20181228,19371790,"of some on this list are maintained by the Neuroimaging Informatics Tools and Resources Clearinghouse (http://www.nitrc.org/), an important source for a vast array of neuroimaging tools as well as data.",nitrc
20181228,19371790,Further details for many of the resources listed here can be located on the NITRC website.,nitrc
20181228,19371790,"For instance, the partnership between the fMRI Data Center (fMRIDC) and the Journal of Cognitive Neuroscience (JOCN) was one that other journals publishing neuroimaging data could adopt for their for their own contributions to the fMRIDC or other formal data archive.",fmridc
20181228,19371790,The fMRIDC is an example of what can happen when resources cannot be sustained.,fmridc
20181228,19371790,"Raw, processed, and results image data and the accompanying meta-data were deposited with the fMRIDC by the authors upon acceptance of their papers.",fmridc
20181229,19555933,"The order of the images, and the length of each intertrial fixation interval, was determined using a program that optimizes for detection of the hemodynamic response associated with each image (the optseq program available from http://www.nitrc.org/projects/optseq/).",nitrc
20181229,19615530,Examples of these screening projects are GENSAT (http://www.gensat.org) and the Allen Brain Atlas (http://www.brain-map.org).,brain-map.org
20181229,19615530,"Numerous mouse lines with floxed alleles as well as mutants that express Cre recombinase under control of a wide variety of promoters are becoming available (See for instance: http://www.mshri.on.ca/nagy/Cre-pub.html, http://www.jax.org, GENSAT http://www.gensat.org, and the Allen Brain Atlas http://www.brain-map.org).",brain-map.org
20181229,19757077,"Progress is continuing on assessing mRNA expression patterns in the brain; for example, the Allen brain atlas (http://www.brain-map.org) is due to be completed in 2012.",brain-map.org
20181207,23999526,Most of the genes in the 22q11.2 locus are expressed in the brain throughout development (http://www.brain-map.org/).,brain-map.org
20181121,24050407,We carried out PPI analysis using the generalized PPI toolbox for SPM (gPPI; http://www.nitrc.org/projects/gppi).,nitrc
20181117,24062635,"The combined data, along with code used to produce model fits and figures for the paper, are publicly available: http://www.github.com/jmxpearson/ppv.",github
20181117,24062635,"The combined data, along with code used to produce model fits and figures for the paper, are publicly available: http://www.github.com/jmxpearson/ppv",github
20181221,24064072,Data were inspected for artifacts and motion using custom software (http://www.nitrc.org/projects/artifact_detect/).,nitrc
20181223,24066700,According to the Talairach Daemon Atlas (http://www.nitrc.org/projects/tal-daemon/).,nitrc
20181207,24093016,"Details of acquisition, informed consent, and site-specific protocols are available at fcon_1000.projects.nitrc.org/indi/abide/.",fcon_1000.projects
20181207,24093016,Specific diagnostic criteria for each site can be found at fcon_1000.projects.nitrc.org/indi/abide/index.html.,fcon_1000.projects
20181119,24121436,"To identify a potential genetic marker for these neurons, we consulted the Allen Brain Explorer (http://mouse.brain-map.org) and searched for genes enriched in the PBelo.",brain-map.org
20181222,24123377,We conducted standard image preprocessing using SPM8 (http://www.fil.ion.ucl.ac.uk/spm/) and the conn_toolbox (http://www.nitrc.org/projects/conn) for functional connectivity analysis.,nitrc
20181123,24151499,"Using a case–control study based on IQ status in 1657 ASD probands, we analyzed both common and rare variants provided by the Autism Genome Project (AGP) consortium via dbGaP (database of Genotypes and Phenotypes).",dbgap
20181123,24151499,The study was conducted using a genome-wide association study (GWAS) data set of ASD families evaluated by the Autism Genome Project (AGP) consortium [provided by dbGaP (database of Genotypes and Phenotypes); ].,dbgap
20181223,24157537,"Additional covariates of no interest included the six motion parameters estimated during realignment, baseline and session effects, and global mean and motion outliers obtained from the Artifact Detection Toolbox (http://www.nitrc.org/projects/artifact_detect/).",nitrc
20181223,24168223,The image on the left shows all redefined ROIs on a three-dimensional image of the brain viewed from the left side (as visualized with the BrainNet Viewer; www/nitrc.org/projects/bnv).,nitrc
20181227,24183027,"This cortical parcellation differs in a number of ways from that of and also the Allen mouse atlas (http://atlas.brain-map.org/; Dong, 2008), which are both based on cytoarchitectonics using conventional histological sections.",brain-map.org
20181227,24183027,The Allen Brain Institute has taken the systematic analysis of long-distance connectivity in the mouse to a new level through a publicly accessible connectivity atlas that currently includes 1010 anterograde tracer injections (http://connectivity.brain-map.org).,brain-map.org
20181220,24185018,HCP data were part of the HCP initial October 2012 public data release (http://www.humanconnectome.org/data).,humanconnectome.org
20181222,24188367,"To address the spurious correlations in resting-state networks caused by head motion, we identified problematic time points during the scan using Artifact Detection Tools (ART, www.nitrc.org/projects/artifact_detect/).",nitrc
20181117,24223551,XNAT Central (http://central.xnat.org/) is a public access repository for neuroimaging and related data operated by the NRG.,xnat.org
20181117,24223551,"Concerning data sharing, this resource built and extended upon existing, standard schemas available for data sharing on XNAT Central (http://central.xnat.org/).",xnat.org
20181117,24223551,"Numerous data sharing initiatives were undertaken in order to create publicly accessible neuroimaging data collections, such as: FBIRN, MCIC, BSNIP, fMRI DataCenter (fMRIDC), the Open Access Series of Imaging Studies (OASIS).",fmridc
20181117,24223551,2Full URL: https://central.xnat.org/app/template/XDATScreen_report_xnat_projectData.vm/search_element/xnat:projectData/search_field/xnat:projectData.ID/search_value/NUDataSharing,xnat.org
20181219,24238796,"The HCP is generating a detailed in vivo mapping of functional connectivity in a large cohort (over 1000 subjects), and is making these datasets freely available for use by the neuroimaging community (over 200 subjects’ datasets are already acquired and publicly released – available via humanconnectome.org).",humanconnectome.org
20181219,24238796,All results are derived from group-average connectivity from the first 131 subjects’ rfMRI data released publicly by the HCP (available from humanconnectome.org) and displayed on lateral and medial views of the inflated left hemisphere.,humanconnectome.org
20181219,24238796,The cortical surface renderings were generated using the Connectome Workbench display tool (humanconnectome.org/connectome/connectome-workbench.html).,humanconnectome.org
20181218,24246490,"However, the current results suggest important benefits in making birthdate (as well as birthplace, since seasonal photoperiod varies according to latitude) available to researchers who utilize large-scale, open source neuroimaging repositories such as the Human Connectome Project (http://www.humanconnectomeproject.org/) and the International Data Sharing Initiative (INDI) repository of resting fMRI data (http://fcon_1000.projects.nitrc.org/indi/summerofsharing2012.html).",fcon_1000.projects
20181220,24254806,*Visualized with the BrainNet Viewer (http://www.nitrc.org/projects/bnv).,nitrc
20181220,24254806,*Visualized with the BrainNet Viewer (http://www.nitrc.org/projects/bnv).,nitrc
20181220,24254806,*Visualized with the BrainNet Viewer (http://www.nitrc.org/projects/bnv.,nitrc
20181220,24254806,*Visualized with the BrainNet Viewer (http://www.nitrc.org/projects/bnv.),nitrc
20181203,24278274,These matched-pairs were subsequently broken because not all subjects gave informed consent to post their data on dbGaP.,dbgap
20181203,24278274,"dbGaP accession numbers for the publicly funded genotyping are: NHS T2D (phs000091.v2.p1), NHS BrCa (phs000147.v1.p1), , HPFS T2D (phs000091.v2.p1), NHS/HPFS KS (phs000460.v1.p1).",dbgap
20181203,24278274,The genotyping for NHS/HPFS CHD was supported by Merck and are not in dbGaP.,dbgap
20181220,24287074,Available from: http://mouse.brain-map.org/,brain-map.org
20181223,24287438,"The initial release of the Nathan Kline Institute/Rockland Sample (NKI-RS) included 207 participants who all underwent multimodal brain scans, semi-structured diagnostic psychiatric interviews, and a battery of psychiatric assessments (http://fcon_1000.projects.nitrc.org/indi/pro/nki.html).",fcon_1000.projects
20181203,24292233,"Although the cholinergic genes are either lowly expressed or not present in adult granule cells, in situ hybridization data demonstrate their robust expression in postnatal DG, at P4 and P14 and, at reduced levels, at P28, with no or very low expression in P56 adult DG (Allen Developing Mouse Brain Atlas; http://developingmouse.brain-map.org).",brain-map.org
20181220,24338816,The gCSA-ODF and bcsCSA-ODF models have been implemented in FSL and will be available on the NITRC web site.,nitrc
20181220,24343754,"For further diagnostic method details, see http://fcon_1000.projects.nitrc.org/indi/pro/nki.html.",fcon_1000.projects
20181220,24343754,"For full details, see http://fcon_1000.projects.nitrc.org/indi/pro/nki.html.",fcon_1000.projects
20190225,24348913,"The ODF-based index has been used by the deterministic fiber tracking implemented in MRtrix (http://www.nitrc.org/projects/mrtrix), DSI Studio (http://dsi-studio.labsolver.org), and Dipy (http://nipy.org/dipy).",nitrc
20190225,24348913,The image data are publicly available at www.nitrc.org.,nitrc
20190225,24348913,"(Bach Micheal et al., ""DWI-Phantom–Resolution Phantom"", http://www.nitrc.org/projects/diffusion-data , use with permission).",nitrc
